                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7288,                 2.6653,                 2.1023,                0.58344,                0.56745,                0.51515,                0.20597,                 1.9897,                 2.2077,                 2.5581,                 0.0739,                 0.0029,                 0.0029
                      1,                 1.3351,                 1.2878,                 1.8216,                0.63862,                0.28713,                0.38298,                0.13167,                 2.3798,                 2.7024,                 2.6601,               0.046783,              0.0057832,              0.0057832
                      2,                 1.1968,                 1.0606,                  1.669,                0.76598,                0.71681,                0.74271,                 0.3742,                 1.9515,                 1.7328,                  2.478,               0.019548,              0.0085476,              0.0085476
                      3,                  1.182,                 1.1021,                 1.6264,                 0.7366,                0.77553,                0.77599,                0.41946,                 1.8443,                 1.3611,                 2.3363,               0.009406,               0.009406,               0.009406
                      4,                 1.1013,                0.83913,                 1.5673,                0.75659,                0.74506,                0.79636,                0.41338,                 1.8963,                 1.3685,                 2.6753,               0.009406,               0.009406,               0.009406
                      5,                 1.1541,                0.75903,                 1.5647,                0.90098,                0.76478,                0.85618,                0.51352,                 1.6402,                 1.2443,                 2.3364,               0.009208,               0.009208,               0.009208
                      6,                 1.1377,                0.71656,                 1.5457,                0.95778,                0.85748,                0.93229,                0.54485,                 1.6228,                 1.1373,                 2.2232,                0.00901,                0.00901,                0.00901
                      7,                  1.133,                0.70285,                 1.5588,                0.75551,                0.55619,                0.67508,                0.43623,                 1.6471,                 1.6333,                 2.2428,               0.008812,               0.008812,               0.008812
                      8,                 1.1273,                0.67688,                  1.559,                0.87198,                0.88855,                0.91543,                0.54557,                 1.6371,                0.88715,                 2.1875,               0.008614,               0.008614,               0.008614
                      9,                 1.1165,                0.67077,                 1.5378,                0.79257,                0.84752,                  0.884,                0.54127,                 1.5641,                 1.1566,                 2.1515,               0.008416,               0.008416,               0.008416
                     10,                 1.0969,                0.68626,                 1.5362,                0.89428,                0.86181,                0.90011,                0.56359,                 1.4836,                0.85228,                 2.1488,               0.008218,               0.008218,               0.008218
                     11,                 1.0866,                 0.6338,                  1.508,                0.69359,                0.76794,                 0.8015,                 0.2911,                 2.0502,                 1.6937,                  2.567,                0.00802,                0.00802,                0.00802
                     12,                 1.0641,                0.63236,                 1.5076,                0.93344,                0.84517,                0.89565,                0.53423,                 1.6243,                0.87973,                 2.1563,               0.007822,               0.007822,               0.007822
                     13,                 1.0702,                0.63541,                 1.5057,                0.89021,                0.90032,                 0.9249,                0.55483,                 1.6457,                0.85493,                 2.1645,               0.007624,               0.007624,               0.007624
                     14,                 1.0598,                0.59965,                 1.4762,                0.90998,                0.81871,                0.88857,                0.55729,                 1.5343,                0.89237,                 2.1161,               0.007426,               0.007426,               0.007426
                     15,                 1.0577,                0.59816,                 1.5038,                0.84365,                0.89067,                0.93804,                0.52614,                 1.7844,                0.92693,                 2.2547,               0.007228,               0.007228,               0.007228
                     16,                 1.0572,                0.60122,                 1.4928,                0.88519,                0.86598,                0.91509,                 0.5696,                 1.6082,                0.82367,                 2.2066,                0.00703,                0.00703,                0.00703
                     17,                 1.0505,                0.56423,                 1.4603,                0.93726,                0.91028,                0.91783,                0.58377,                 1.5148,                 0.7541,                  2.099,               0.006832,               0.006832,               0.006832
                     18,                 1.0143,                0.56445,                 1.4387,                0.92149,                0.88483,                0.92676,                0.59089,                 1.4729,                0.74465,                 2.0728,               0.006634,               0.006634,               0.006634
                     19,                 1.0188,                0.57189,                  1.461,                0.93908,                0.87938,                0.92382,                0.58012,                 1.4635,                0.77905,                 2.0535,               0.006436,               0.006436,               0.006436
                     20,                 1.0197,                 0.5607,                 1.4384,                0.91651,                0.87894,                0.92806,                0.57904,                 1.5059,                0.73596,                  2.092,               0.006238,               0.006238,               0.006238
                     21,                0.99385,                0.53833,                 1.4587,                0.95216,                0.87688,                0.92067,                0.58514,                  1.562,                0.81253,                 2.0938,                0.00604,                0.00604,                0.00604
                     22,                0.96825,                0.53798,                   1.45,                0.95189,                0.92124,                0.94532,                0.59636,                 1.5127,                0.75061,                 2.0596,               0.005842,               0.005842,               0.005842
                     23,                 1.0037,                0.55816,                 1.4499,                0.90725,                0.89747,                0.92415,                 0.5684,                  1.561,                0.82537,                 2.1384,               0.005644,               0.005644,               0.005644
                     24,                0.96139,                0.54138,                 1.4376,                0.93827,                0.89976,                0.92307,                0.57038,                 1.5283,                 0.7184,                  2.115,               0.005446,               0.005446,               0.005446
                     25,                0.97153,                0.52526,                 1.4184,                0.93618,                0.91117,                0.93107,                0.59492,                 1.4691,                0.71206,                 2.0307,               0.005248,               0.005248,               0.005248
                     26,                0.95696,                0.51653,                 1.4138,                0.95135,                0.88194,                0.92876,                 0.5751,                 1.5569,                0.73381,                 2.1247,                0.00505,                0.00505,                0.00505
                     27,                0.96329,                0.53034,                 1.4192,                0.95099,                0.90375,                0.91859,                0.58051,                 1.5724,                0.74956,                 2.1217,               0.004852,               0.004852,               0.004852
                     28,                0.92185,                0.49928,                 1.3806,                0.96296,                0.91123,                0.94123,                0.60281,                 1.5173,                0.67962,                 2.0434,               0.004654,               0.004654,               0.004654
                     29,                0.92775,                 0.4962,                 1.3787,                 0.9419,                0.90383,                0.94223,                0.60031,                 1.4915,                0.73836,                 2.0676,               0.004456,               0.004456,               0.004456
                     30,                0.91644,                0.47888,                  1.378,                0.96221,                0.88414,                 0.9333,                0.60044,                  1.509,                0.75259,                 2.0819,               0.004258,               0.004258,               0.004258
                     31,                0.90728,                0.49067,                 1.4008,                0.94393,                0.89322,                 0.9345,                 0.5979,                 1.4897,                0.71601,                 2.0501,                0.00406,                0.00406,                0.00406
                     32,                0.89943,                0.48527,                 1.3744,                 0.9405,                0.88623,                0.93912,                0.58922,                 1.4865,                0.69782,                 2.0425,               0.003862,               0.003862,               0.003862
                     33,                 0.9117,                0.48188,                 1.3859,                0.94036,                0.90629,                0.93826,                0.58698,                 1.5188,                0.71636,                  2.088,               0.003664,               0.003664,               0.003664
                     34,                0.87707,                0.48061,                 1.3454,                0.94784,                0.89067,                0.92915,                0.59103,                 1.4798,                0.72811,                 2.0364,               0.003466,               0.003466,               0.003466
                     35,                0.85446,                 0.4675,                  1.349,                0.96415,                0.88741,                0.93229,                0.59473,                 1.5032,                0.71258,                 2.0846,               0.003268,               0.003268,               0.003268
                     36,                0.86561,                 0.4596,                  1.317,                0.90938,                0.89322,                0.92855,                0.59506,                 1.5259,                0.71651,                 2.1156,                0.00307,                0.00307,                0.00307
                     37,                0.83701,                0.45179,                 1.3247,                0.91479,                0.90482,                0.93365,                0.57884,                  1.499,                0.70981,                 2.1007,               0.002872,               0.002872,               0.002872
                     38,                0.82668,                0.44989,                 1.3123,                 0.9669,                0.90876,                0.93473,                0.58881,                 1.5215,                0.67366,                 2.0961,               0.002674,               0.002674,               0.002674
                     39,                 0.8037,                0.42453,                 1.2932,                0.96657,                0.90144,                0.93979,                0.60262,                  1.503,                0.67187,                 2.1167,               0.002476,               0.002476,               0.002476
                     40,                0.90963,                0.46709,                 1.4584,                0.95962,                0.90837,                0.92847,                0.59064,                  1.517,                 0.6882,                 2.1456,               0.002278,               0.002278,               0.002278
