                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5641,                 3.5354,                 1.6698,                0.65335,                0.59986,                0.63493,                0.40474,                 1.2828,                 2.4119,                 1.4265,                 0.0865,                 0.0015,                 0.0015
                      1,                 1.3261,                 1.4618,                 1.4737,                0.62984,                0.70148,                0.68953,                0.44992,                 1.2845,                 1.4159,                 1.3803,               0.072069,              0.0030693,              0.0030693
                      2,                 1.2559,                 1.0804,                 1.4028,                0.86329,                0.81114,                0.85636,                0.56993,                 1.1632,                0.96866,                 1.3071,               0.057607,              0.0046069,              0.0046069
                      3,                  1.123,                0.92716,                 1.2983,                0.83261,                0.88306,                0.86413,                0.56526,                 1.1751,                0.89105,                 1.2194,               0.043113,              0.0061129,              0.0061129
                      4,                 1.1446,                  0.944,                 1.2461,                0.82044,                0.87485,                0.86257,                0.55806,                 1.1507,                  1.082,                  1.242,               0.028587,              0.0075872,              0.0075872
                      5,                 1.1525,                0.88943,                 1.2204,                0.88784,                0.82262,                0.86951,                0.55592,                 1.2136,                0.88731,                 1.2411,                0.01403,              0.0090297,              0.0090297
                      6,                 1.1089,                0.95013,                 1.1887,                0.83568,                0.82933,                0.83265,                0.54915,                  1.182,                0.94874,                 1.2083,               0.009406,               0.009406,               0.009406
                      7,                 1.1228,                0.86405,                 1.1889,                0.84034,                0.84097,                0.85144,                0.54781,                 1.2432,                0.93529,                 1.2356,               0.009406,               0.009406,               0.009406
                      8,                 1.1257,                0.78289,                 1.1883,                0.82458,                0.73687,                 0.7973,                0.53514,                 1.2751,                 1.0726,                 1.3426,               0.009307,               0.009307,               0.009307
                      9,                 1.1142,                0.77869,                 1.2093,                0.84883,                0.83618,                0.85601,                0.55431,                 1.2473,                0.87334,                 1.2688,               0.009208,               0.009208,               0.009208
