                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.2107,                 4.5273,                 4.2531,                      0,                      0,                      0,                      0,                 3.9331,                 4.0661,                 3.9609,                 0.0748,                 0.0028,                 0.0028
                      1,                 3.6262,                 3.4256,                 3.8748,                      0,                      0,                      0,                      0,                 3.7695,                 4.0782,                 3.8914,               0.048606,               0.005606,               0.005606
                      2,                  2.884,                 2.7957,                 3.2353,                      0,                      0,                      0,                      0,                 3.6412,                  4.102,                 3.8564,               0.022316,              0.0083162,              0.0083162
                      3,                  2.635,                 2.6813,                 2.8931,                 0.3262,                0.55065,                 0.3893,                0.12006,                 2.4816,                 3.0504,                 2.7763,               0.009505,               0.009505,               0.009505
                      4,                 2.5888,                 2.4276,                 2.6208,                0.20412,                0.49924,                0.18472,                0.05379,                  2.396,                 10.229,                 2.7577,               0.009505,               0.009505,               0.009505
                      5,                 2.5494,                  2.323,                 2.5196,                 0.3538,                0.40763,                 0.3318,                0.10155,                 2.5617,                 2.0723,                 2.8054,                0.00934,                0.00934,                0.00934
                      6,                 2.4428,                 2.1992,                 2.4331,                0.01755,                 0.9313,                0.18526,                0.06017,                 2.3611,                 2.8777,                 2.5956,               0.009175,               0.009175,               0.009175
                      7,                 2.3756,                 2.0147,                 2.3094,                 0.4011,                0.49924,                0.40926,                0.13087,                 2.3177,                 2.2639,                 2.5453,                0.00901,                0.00901,                0.00901
                      8,                 2.3784,                 1.9449,                 2.3044,                 0.4252,                0.44733,                0.37758,                0.12495,                 2.2348,                 1.9768,                 2.4591,               0.008845,               0.008845,               0.008845
                      9,                 2.3198,                 1.9381,                  2.255,                0.55397,                0.54809,                0.56122,                0.19592,                 2.1462,                 1.8309,                 2.3597,                0.00868,                0.00868,                0.00868
                     10,                 2.3035,                 1.7177,                 2.2128,                0.64222,                0.63511,                0.68007,                0.23195,                 2.1874,                 2.1274,                 2.3991,               0.008515,               0.008515,               0.008515
                     11,                 2.2771,                 1.7408,                 2.2044,                0.61115,                0.58779,                0.64288,                0.20719,                 2.1939,                 1.6262,                 2.3838,                0.00835,                0.00835,                0.00835
                     12,                 2.3245,                 1.7707,                 2.2676,                0.52419,                0.57019,                0.55691,                0.19199,                 2.1952,                  1.692,                 2.4091,               0.008185,               0.008185,               0.008185
                     13,                 2.2845,                 1.6878,                 2.2434,                0.62406,                0.54351,                0.59435,                0.19847,                 2.1676,                 1.9782,                 2.3857,                0.00802,                0.00802,                0.00802
                     14,                 2.2443,                 1.6862,                 2.2004,                0.59826,                0.59389,                0.63438,                  0.214,                 2.1689,                 1.6098,                 2.3636,               0.007855,               0.007855,               0.007855
                     15,                  2.254,                 1.6276,                 2.1947,                0.66766,                0.58321,                0.62501,                 0.1871,                 2.2335,                  1.715,                  2.416,                0.00769,                0.00769,                0.00769
                     16,                 2.1992,                 1.4936,                 2.1215,                0.72736,                 0.7374,                0.78867,                 0.2886,                 2.0718,                  1.522,                 2.2664,               0.007525,               0.007525,               0.007525
                     17,                 2.2566,                 1.4989,                 2.1748,                0.48983,                0.57901,                0.49464,                 0.1345,                 2.4625,                 1.8244,                 2.5908,                0.00736,                0.00736,                0.00736
                     18,                 2.2543,                 1.5382,                  2.183,                0.80162,                 0.6916,                0.80447,                0.28969,                 2.1108,                 1.4306,                 2.2914,               0.007195,               0.007195,               0.007195
                     19,                 2.2016,                 1.5018,                 2.1245,                0.80986,                0.74809,                0.82512,                0.29859,                 2.1211,                 1.3372,                 2.3077,                0.00703,                0.00703,                0.00703
                     20,                 2.1952,                 1.4276,                 2.1531,                0.67215,                 0.7074,                0.68004,                0.21295,                 2.2825,                 1.3842,                 2.4301,               0.006865,               0.006865,               0.006865
                     21,                 2.2094,                 1.3864,                 2.1266,                0.76783,                0.76794,                0.80661,                0.28387,                 2.0883,                 1.3965,                 2.2779,                 0.0067,                 0.0067,                 0.0067
                     22,                 2.2112,                 1.3944,                 2.1041,                 0.7809,                0.78931,                0.83788,                0.29628,                 2.0407,                 1.3901,                 2.2423,               0.006535,               0.006535,               0.006535
                     23,                 2.1586,                 1.4068,                 2.0749,                0.79919,                0.74735,                0.79817,                0.27866,                  2.114,                 1.3947,                 2.2969,                0.00637,                0.00637,                0.00637
                     24,                 2.2035,                  1.396,                 2.1127,                0.80304,                0.72829,                0.83304,                 0.2989,                 2.1448,                 1.3341,                 2.3248,               0.006205,               0.006205,               0.006205
                     25,                 2.1583,                 1.3496,                 2.0339,                0.75235,                 0.6679,                0.75623,                0.26719,                 2.1592,                 1.4151,                  2.319,                0.00604,                0.00604,                0.00604
                     26,                  2.188,                 1.3903,                 2.0678,                0.67395,                0.54351,                 0.6244,                  0.214,                  2.249,                 1.8644,                  2.415,               0.005875,               0.005875,               0.005875
                     27,                 2.1445,                 1.3691,                 2.1525,                0.80511,                 0.7313,                0.81782,                 0.3153,                 2.0599,                 1.3264,                 2.2718,                0.00571,                0.00571,                0.00571
                     28,                  2.148,                  1.317,                 2.0686,                0.85616,                0.83359,                0.86193,                0.31788,                 2.0967,                 1.2113,                 2.2823,               0.005545,               0.005545,               0.005545
                     29,                 2.1461,                 1.3171,                 2.0378,                0.83726,                 0.8326,                0.88137,                0.32639,                 2.0503,                 1.3068,                 2.2415,                0.00538,                0.00538,                0.00538
                     30,                 2.1818,                 1.2897,                 2.0829,                0.81908,                0.79237,                0.84673,                0.31025,                 2.0825,                 1.2747,                 2.2747,               0.005215,               0.005215,               0.005215
                     31,                 2.1605,                 1.3161,                 2.0936,                0.82752,                0.84885,                0.87606,                0.33154,                 2.0274,                 1.2826,                  2.233,                0.00505,                0.00505,                0.00505
                     32,                 2.1536,                 1.3054,                 2.0296,                0.83853,                0.83248,                0.86418,                0.32548,                 2.0452,                 1.2293,                 2.2393,               0.004885,               0.004885,               0.004885
                     33,                  2.132,                  1.275,                 2.0307,                0.85735,                0.82595,                0.88025,                0.33762,                 2.0632,                 1.1475,                 2.2534,                0.00472,                0.00472,                0.00472
                     34,                 2.1334,                 1.2582,                 2.0391,                0.87187,                0.83359,                0.90118,                0.35472,                 2.0208,                 1.1182,                 2.2247,               0.004555,               0.004555,               0.004555
                     35,                 2.1104,                 1.2374,                 2.0475,                0.87858,                0.86718,                0.90315,                 0.3525,                 2.0595,                 1.0997,                 2.2463,                0.00439,                0.00439,                0.00439
