                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7749,                 6.3462,                 4.5747,                      0,                      0,                      0,                      0,                 2.6292,                 4.5237,                 4.1587,                      0,                      0,                      0
                      2,                 2.9371,                 4.9094,                 4.2736,                      0,                      0,                      0,                      0,                 2.6287,                 4.5239,                 4.1585,             1.9868e-05,             1.9868e-05,             1.9868e-05
                      3,                 3.1706,                 5.4184,                 4.4496,                      0,                      0,                      0,                      0,                 2.6283,                 4.5245,                 4.1584,             3.9472e-05,             3.9472e-05,             3.9472e-05
                      4,                 3.6986,                 4.9611,                 4.2239,                      0,                      0,                      0,                      0,                 2.6279,                 4.5254,                 4.1582,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      5,                 2.9423,                  4.657,                  4.557,                      0,                      0,                      0,                      0,                 2.6275,                 4.5265,                  4.158,             7.7888e-05,             7.7888e-05,             7.7888e-05
                      6,                 2.9663,                 5.3289,                 4.3947,                      0,                      0,                      0,                      0,                 2.6271,                 4.5273,                 4.1578,               9.67e-05,               9.67e-05,               9.67e-05
                      7,                  1.824,                 6.6684,                 4.2214,                      0,                      0,                      0,                      0,                  2.627,                 4.5274,                 4.1577,             0.00011525,             0.00011525,             0.00011525
                      8,                 4.6681,                 4.5229,                 4.4571,                      0,                      0,                      0,                      0,                  2.627,                 4.5272,                 4.1576,             0.00013353,             0.00013353,             0.00013353
                      9,                 4.1444,                 4.7928,                 4.6104,                      0,                      0,                      0,                      0,                  2.627,                 4.5271,                 4.1575,             0.00015155,             0.00015155,             0.00015155
                     10,                 4.1195,                 4.6563,                 4.1789,                      0,                      0,                      0,                      0,                  2.627,                 4.5278,                 4.1575,             0.00016931,             0.00016931,             0.00016931
