                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0479,                 4.0256,                 4.1971,                0.00329,                0.62077,                0.00689,                0.00213,                 2.6227,                 3.8671,                 4.1214,             0.00053979,             0.00053979,             0.00053979
                      2,                 2.9931,                 3.7491,                 3.9128,                0.00321,                0.60116,                0.00537,                0.00164,                 2.9042,                 3.8809,                 4.4823,              0.0010846,              0.0010846,              0.0010846
                      3,                 2.9651,                 3.4606,                 3.5648,                0.00293,                0.75779,                0.00996,                0.00314,                   2.61,                  3.701,                 4.1213,              0.0016184,              0.0016184,              0.0016184
                      4,                  2.851,                 3.3089,                 3.3574,                0.02443,                0.23321,                0.01494,                0.00426,                 2.6198,                 8.4391,                 3.6076,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.8078,                 3.2374,                 3.3108,                 0.0864,                0.08186,                0.02865,                0.00878,                 3.0635,                 3.9645,                 4.8042,              0.0016175,              0.0016175,              0.0016175
                      6,                 2.7176,                 3.2309,                 3.2262,                0.04524,                0.04035,                0.01077,                0.00296,                 2.8914,                  4.586,                 4.7842,               0.001601,               0.001601,               0.001601
                      7,                 2.6028,                 3.0607,                 3.1287,                0.11524,                0.27327,                0.07415,                0.01967,                 2.5706,                 4.7103,                 3.3675,              0.0015845,              0.0015845,              0.0015845
                      8,                 2.5642,                 3.0024,                   3.06,                0.18351,                0.36739,                0.13541,                0.03995,                 2.3405,                 3.4959,                 3.0537,               0.001568,               0.001568,               0.001568
                      9,                 2.3911,                  2.937,                 2.9324,                0.09975,                0.16259,                0.05117,                0.01646,                  2.268,                 3.1937,                 3.0674,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.3435,                 2.8868,                 2.9014,                 0.1612,                0.05302,                 0.0483,                0.01628,                 2.3557,                  3.427,                 3.2062,               0.001535,               0.001535,               0.001535
                     11,                 2.3188,                 2.8731,                 2.8479,                0.23968,                0.44141,                0.19823,                0.06283,                 2.2647,                 3.3113,                 3.0022,              0.0015185,              0.0015185,              0.0015185
                     12,                 2.2999,                 2.7939,                 2.8035,                0.21655,                0.32738,                0.17563,                0.05641,                 2.1896,                 2.7016,                 2.7978,               0.001502,               0.001502,               0.001502
                     13,                 2.2591,                 2.7306,                 2.7749,                 0.2635,                 0.3041,                 0.1734,                0.05712,                 2.3785,                 2.7931,                 3.0213,              0.0014855,              0.0014855,              0.0014855
                     14,                 2.2208,                 2.6338,                 2.7131,                0.26808,                 0.4734,                0.24911,                0.09116,                 2.1758,                 2.9166,                 2.8898,               0.001469,               0.001469,               0.001469
                     15,                 2.1651,                 2.6544,                 2.6841,                0.26144,                0.39287,                0.21255,                0.07724,                 2.0665,                 3.0765,                 2.7249,              0.0014525,              0.0014525,              0.0014525
                     16,                 2.1759,                 2.5991,                 2.6612,                0.26559,                0.36516,                0.21763,                0.07944,                 2.1461,                 2.5844,                 2.7544,               0.001436,               0.001436,               0.001436
                     17,                 2.1674,                 2.6594,                 2.6997,                0.24245,                0.48049,                0.21156,                0.07009,                 2.1446,                 2.7255,                 2.7565,              0.0014195,              0.0014195,              0.0014195
                     18,                 2.1278,                  2.626,                 2.6499,                0.29007,                0.52412,                0.25857,                0.09054,                 2.0972,                 2.3435,                 2.6763,              0.0014029,              0.0014029,              0.0014029
                     19,                 2.1281,                 2.5209,                 2.6172,                0.29184,                0.44598,                0.26182,                0.09719,                 1.9747,                 2.4027,                 2.5529,              0.0013864,              0.0013864,              0.0013864
                     20,                 2.0713,                 2.5139,                 2.5824,                0.26362,                 0.5418,                0.26082,                0.09761,                  1.974,                 2.8906,                 2.5998,              0.0013699,              0.0013699,              0.0013699
                     21,                 2.0511,                 2.5023,                 2.5657,                0.31461,                0.39731,                0.26691,                0.09648,                 2.0568,                 2.3981,                 2.6298,              0.0013534,              0.0013534,              0.0013534
                     22,                 2.0012,                 2.4729,                 2.5099,                0.26768,                0.44499,                0.26921,                0.10137,                 1.9345,                 2.3869,                 2.5233,              0.0013369,              0.0013369,              0.0013369
                     23,                 2.0229,                 2.4124,                 2.5102,                0.33287,                0.52435,                0.30972,                0.12555,                 1.9259,                 2.2404,                 2.5044,              0.0013204,              0.0013204,              0.0013204
                     24,                 2.0107,                 2.4139,                 2.4979,                0.27423,                0.39593,                0.24224,                0.08945,                 2.0739,                 2.4386,                   2.61,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.9557,                 2.3614,                 2.4497,                0.28672,                0.42441,                0.24462,                0.09436,                 1.9638,                 2.3353,                 2.5863,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.9448,                 2.4022,                 2.4434,                 0.3204,                 0.3847,                0.29176,                0.12834,                  1.855,                 2.3429,                 2.5296,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.9271,                 2.3345,                 2.4217,                0.35452,                0.50658,                0.35745,                0.16299,                 1.8519,                 2.1362,                 2.4209,              0.0012544,              0.0012544,              0.0012544
                     28,                  1.908,                 2.3033,                 2.3939,                0.39019,                0.54184,                0.37709,                0.17632,                 1.7975,                 1.9895,                 2.3897,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.8971,                 2.2733,                  2.366,                0.37247,                0.57915,                0.35778,                0.15122,                  1.879,                 2.0555,                 2.4786,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.9028,                 2.3059,                 2.3842,                0.38088,                0.53902,                0.38602,                0.17876,                 1.7515,                 2.1202,                 2.3407,              0.0012049,              0.0012049,              0.0012049
